date,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualEbitda,annualGrossPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualChangeInInventory,annualBeginningCashPosition,annualInvestingCashFlow,annualChangesInAccountReceivables,annualInterestExpense,annualNonCurrentDeferredTaxesLiabilities,annualPretaxIncome,annualIncomeTaxPayable,annualAccumulatedDepreciation,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,annualPurchaseOfInvestment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCostOfRevenue,annualAccountsPayable,annualTotalRevenue,annualOperatingIncome,annualBasicAverageShares,annualOtherShortTermInvestments,annualFreeCashFlow,annualEndCashPosition,annualCommonStockIssuance,annualOtherCurrentAssets,annualChangeInWorkingCapital,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualInvestmentsAndAdvances,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,annualOperatingExpense,annualLongTermDebt,annualCashDividendsPaid,annualDilutedAverageShares,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualDilutedEPS,annualRetainedEarnings,annualAccountsReceivable,annualCurrentAccruedExpenses,annualResearchAndDevelopment,annualStockBasedCompensation,annualNonCurrentDeferredRevenue,annualDeferredIncomeTax
1998-12-31,80222975535,0,65584100241,57925350915,22249151523,205477458183,85942800981,7852641714,362287926978,255647113578,87736305570,430053316584,,31410566856,-96946194,32137663311,-51575375208,,15172079361,1308773619,54774599610,,-174406203006,41589917226,-96946194,,-17450314920,,11197285407,-48618516291,,205719823668,,211051864338,36209403459,416529322521,49248666552,127432777,49394085843,31604459244,43334948718,,162045563271,-2666020335,8531265072,-20940377904,,291662624649,8143480296,45710130471,,45710130471,37033446108,358.699948,156228791631,173000483193,-16674745368,127432777,,,41056713159,297430923192,117741152613,193892388,38487639018,45710130471,358458552315,659718850170,9064469139,358.699948,155453222079,,,,,,
1999-12-31,65328216645.15,0,66773425765.05,18101641262.22,24741662504.31,184876126795.53,81581790128.04,2784012733.17,356228696017.08,257059822599.18,76637375043.84,472155642658.26,,19002647094.48,-2682901032.84,43285336592.58,-8142403470.03,,16782424732.26,,32249867979.6,,-215095820059.08,24606141063.03,4481207032.95,,-11139756597.09,,46046056578.03,-33123875399.73,,206743252478.94,,200059822025.19,43070937437.43,384935948820.72,32697723992.58,126712000,10463737532.58,32204341245.42,89331393170.61,,238672845177.39,-9660137736.24,7637903729.64,11708311393.71,,288325042606.98,13904711627.58,27158285080.26,,27158285080.26,28919534436.27,195.868716,152178402802.95,187740605384.46,-19687136249.07,126712000,,,32395447652.85,333647965244.43,108238751751.69,3890418249.87,43939651051.26,27158285080.26,391401803835.54,689876661261.51,5091582899.34,195.868716,196735841049.42,,,,,,
2000-12-31,92518031645.65,0,108384087867.95,27408128437.7,24192329900.4,215853464795.6,103171151364,-19337721962.55,387261594378.1,242129366550,103734402656.4,506243278208.95,,21038351626.9,635374933.5,93650830738.8,12323411660.65,,20148254310.15,,33316542909.4,,-264113911658.95,48866056484.65,-101316543.45,,-101829422675.6,,2249570710.5,-26659988763.75,-414424731400,178840299074.9,,228811106570.05,35703491983.9,444664571365.65,54840870498.95,63356000,15254150092.65,65858042881.9,95900401449.3,14882656.1,177514597862.3,8017744768.95,12153978345.05,580423587.9,,282011450438.9,18601602895.45,31500286455.35,,31500286455.35,38132799387.3,248.538067,161012594296.65,157801947448,-70447625059.2,63356000,445580427125.65,,36748139960.15,273937609504.65,120489411375.75,4105895854.05,48893532157.45,31500286455.35,379169436328.65,661199203882.75,1816256454.05,248.538067,167273613235.95,41060103360.2,,,,,
2001-12-31,89547917675.58,0,111263714017.26,57614011660.1,17325181686.89,180313945061.95,98713813209.62,-4102445455.71,541245866909.65,217410441935.26,111677461537.04,517961663436.28,,15095175086.67,7524124225.52,100509583195.63,-182679444060.82,,33188367345.42,1446794442.17,40277594018.2,,-300551221501.02,31523463188.35,5972240557.08,,59970257519.55,,-42783872923.96,-22615994619.54,-961403168553.59,218863184824.2,,301613349718.73,32516853798.94,481927294780.68,55826833874.98,126712333,43745538485.11,66931923056.04,57725049333.14,,10833443445.23,-54196959.46,13868473174.99,1641771308.52,,317576998033.82,34673496222.33,33066754655.9,,33066754655.9,46252478329.4,260.855253,124487111186.97,202321215295.36,,126712333,772813612157.51,,212571710957.13,148469265748.02,124487772125.5,684732317.08,55850627662.06,33066754655.9,372092529865.28,689715132657.67,7210839362.3,260.855253,146690680163.79,27364177019.06,,,,,
2002-12-31,98305476172.8,0,114500721239.7,49624640106.9,17811239314.2,136075649340.3,87620317598.7,3668587921.2,547253606026.8,207349425041.1,90454611566.1,556913548455.6,,15635446792.2,-2628242092.8,59456772738.6,-38226225043.8,,20201008782.9,1929394825.8,41526657342.9,,-349564123414.5,26727665887.8,0,,-63753602739,,-9832132631.7,-23840778260.1,-52827810157.5,213833574941.1,,262166428295.7,29396253802.2,398242077636,41521614115.2,126712333,25539625533.9,74464697912.7,49624640106.9,,9239913607.5,11627521692.9,24085014573,3602305.5,,301453892539.8,17035302709.5,33021614057.4,,33021614057.4,59566282825.8,271.002884,94554035225.1,196268733323.1,-58780259765.7,126712333,37806196222.5,,225403459746,123374640608.4,94554035225.1,-1440922.2,48932997450.9,33021614057.4,369124642279.5,670628246635.2,8505043285.5,271.002884,125035303443.9,25780980002.4,14461095199.2,,,,
2003-12-31,66690249585.36,0,87979191283.92,41042211580.56,19690249668.08,139643876091.92,91529726354.96,-35196194944,457608798243.36,169085612068.64,87793697824.08,505296669740.88,,18087990455.68,-3401902491.04,50121284097.28,-17805588553.68,,19980380464.24,1335909629.04,16766944084.64,,-336211057672.24,28666468439.44,0,,-53812128323.84,,-9079667047.04,-25343043950.64,-142805588333.68,190913792767.44,,247212246889.52,27742568322.16,386856122981.44,47699762103.92,126712333,31696194950.16,41347205634.72,41041617050.24,,12254458955.84,-17228894143.28,9346016630.4,4161712.24,,282443519122.4,20269322199.76,15754458949.68,,15754458949.68,,119.714625,91944113988,171489892682.72,-51009512395.36,126712333,149410225658.56,,200543994890.8,127817478966.48,91944708518.32,28070749058.8,40093935720.16,15754458949.68,302934601131.52,585426277209.84,1009512483.36,119.714625,116565992660.48,40928656289.44,14851367393.6,,,,
2004-12-31,70015556115.68,0,83703334002.96,37324444743.04,20637222387.32,159478890164.72,105982223070.08,-15957222349.88,445669448009.8,153029445668.68,102268889707.04,504070559588.12,,24612777974.68,-2102222239.04,41903889224.12,-37445555855.12,,19066111263.64,377777780.8,43934444795.92,,-351041113919.44,38651111420.32,8888888.96,,-43628333682.36,,-14870555674.52,-32977222486.04,-27668889110.24,181725001453.8,,252666113132.44,33504444712.48,412145003297.16,62641111612.24,126712333,23551111299.52,37038333629.64,27033333549.6,,14608333450.2,-24714444642.16,13773333443.52,0,,287707224523.88,33373889155.88,40002778097.8,,40002778097.8,2978888912.72,316.810003,96837778552.48,156734445698.32,-45578333697.96,126712333,22348333512.12,,208936668338.16,131807223276.68,96837778552.48,15099444565.24,39627778094.8,40002778097.8,289717780095.52,577476671286.48,3929444475.88,316.810003,96453334104.96,31096111359.88,317777780.32,,,,
2005-12-31,96873326711.68,0,176107106.52,54144696325.94,17434088612.42,191175592654.78,124826467873.78,-14520082425.88,364221422133.08,139377961216.32,113557157855.68,495352215460.44,,29491246212.32,2422245114.24,28130278134.74,10913491273.64,,21123069054.26,,64609680904.32,,-355974254244.12,43461380130.12,514933.06,71429969284.02,-114180226858.28,,-6970648833.22,-27409371850.74,-25298661237.8,131801236171.48,,287542740168.48,37895983617.64,478718332823.26,77948506890.56,126712333,39724510913.7,69463954860.94,21159629301.52,,18160144227.02,-3461894962.38,14420185412.24,0,,256627704045.26,42125128839.42,56067971305.04,,56067971305.04,-11848094777.54,444.750774,113227085764.22,102309989959.16,-72589083602.08,126712333,60229145362.9,,152560762485.38,162098867555.76,113227085764.22,-1280123587.16,35608650965.12,56067971305.04,268574665970.32,526320289688.84,8553553059.66,444.750774,82416066119.12,39814624199.2,631822864.62,,,,
2006-12-31,126989349620.96,0,167731628.4,49585196724.56,22703407746.32,234779551325.76,126334930029.52,2222044715.28,349660274820.32,142117677539.92,131384450766.4,524717249289.84,,30872736771.44,-4702875371.52,21604366219.28,5985622967.76,,15381256564.96,4129925428.16,87986687445.04,,-382599571749.92,47138444875.36,532481.36,67921192356.16,-112374866214.4,,19990415217.12,-37023961442.16,-1294994667.52,111486687305.92,,312243342134.48,42890841066.64,547022893460.24,95112885485.92,126712333,33234291603.04,89965388178.8,41594781436.4,,18327475929.84,15633652729.6,16350905121.52,0,,237821617335.44,32919062637.92,74394568249.68,499999997.04,74394568249.68,-11693823146.96,587.05431,139666665839.84,76484025106.32,-73723109254.72,126712333,42256123285.52,,139453673295.84,164212459091.76,139667198321.2,2441959516.96,36271565280.48,74394568249.68,274879657584.64,513872733912.08,13562300239.2,587.05431,84404685336.32,39051650461.04,2886581452.56,,,,
2007-12-31,137138944738.75,0,162350598.22,122375996476.07,27298804883.52,285237550873.29,138665339166.8,-8250996046.96,274609064777.55,168583665972.52,151382470688.72,564536854712.3,,29192729193.43,-5406872530.29,44648904550.35,31445717249.71,,15160856630.71,12375498054.5,108514940647.06,,-395953188739.78,45004980248.9,0,57062251210.57,-90737550141.97,,76722609850.23,-56024402601.09,-21558267013.33,119326693675.76,,351451694548.55,59573705403.28,636689245421.84,115495020354.58,126712333,97622012319.25,81114542137.66,121371514400.58,,22576195304.01,3634960173.03,24753984156.82,498007.97,,257992032842.56,30144920432.07,81602091940.29,466633467.89,81602091940.29,-28637948314.85,644.055779,169742530518.71,77758466427.83,-78347609856.34,126712333,108329681682.22,,48800796996.24,265819224107.05,169743028526.68,11059760997.76,35887450334.14,81602091940.29,281148905439.59,540428288884.6,26870518029.32,644.055779,92773406723.33,44280876660.52,3475099614.66,,,,
