date,annualOtherShortTermInvestments,annualFreeCashFlow,annualCommonStockIssuance,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualOtherCurrentAssets,annualChangeInWorkingCapital,annualOperatingIncome,annualEndCashPosition,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualNetIncome,annualPretaxIncome,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualDilutedAverageShares,annualCurrentDebt,annualSaleOfInvestment,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualLongTermDebt,annualBasicAverageShares,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualTotalAssets,annualTaxProvision,annualNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,annualAccountsReceivable,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualGrossProfit,annualEbitda,annualChangeInInventory,annualGrossPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualAccumulatedDepreciation,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,annualInvestingCashFlow,annualDeferredIncomeTax,annualDilutedEPS,annualCapitalExpenditure,annualInventory,annualGoodwill,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualBasicEPS,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,annualStockBasedCompensation,annualInterestExpense,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue
1979-12-31,,0,,620000000,,,86600000,,,59300000,,541500000,0,,175600000,333700000,824000000,333700000,559200000,,,1191785714,100300000,,209500000,836100000,,8200000,1191785714,1317000000,,,1586200000,2206200000,225500000,333700000,533400000,1445500000,,,175600000,,29100000,889200000,679700000,,0,1426800000,590700000,,1078100000,,0,0,-398400000,885300000,78400000,,0,,0.28,,612600000,,,,0.28,433100000,,,,2250800000,,11500000,,,
1980-12-31,,0,,872400000,,,133600000,,,72100000,,565300000,0,,202300000,342000000,966800000,342000000,590400000,,,1179310345,184700000,,220800000,969800000,,32900000,1179310345,1537700000,,,1735100000,2607500000,248400000,342000000,738800000,1577100000,,,202300000,,43500000,1069800000,849000000,,0,1591800000,622000000,,1295900000,,0,0,-446900000,1026500000,100700000,,0,,0.29,,672500000,,,,0.29,554100000,,,,2558600000,,18400000,,,
1981-12-31,,0,,1014000000,,,196200000,,,96100000,,616500000,0,,262700000,374500000,1014600000,374500000,646000000,,,1208064516,209000000,,230700000,1072900000,,53800000,1208064516,1665400000,,,1888300000,2902300000,271500000,374500000,817800000,1765300000,,,262700000,,51600000,1236900000,1006200000,,0,1758600000,685700000,,1496600000,,0,0,-490400000,1142100000,142400000,,0,,0.31,,679200000,,,,0.31,608800000,,,,2773200000,,22200000,,,
1982-12-31,,0,,1099600000,,,226000000,,,99000000,,670900000,0,,303800000,411800000,1046000000,411800000,684100000,,,1211176471,245600000,,339000000,1162700000,,49400000,1211176471,1680500000,,,2055500000,3155100000,272300000,411800000,873600000,1979800000,,,303800000,,40000000,1474600000,1135600000,,0,1916700000,754000000,,1689400000,,0,0,-553800000,1245800000,176600000,,0,,0.34,,658300000,,,,0.34,628000000,,,,2962700000,,26700000,,,
1983-12-31,,0,,1292800000,,,304500000,,,109700000,,724900000,0,,491000000,457400000,1004900000,457400000,754800000,,,1172820513,306500000,,371100000,1205600000,,90700000,1172820513,1830100000,,,2121000000,3413800000,297400000,457400000,988300000,2227600000,,,491000000,,63400000,1583700000,1212600000,,0,2028800000,823200000,,1840900000,,0,0,-628300000,1303900000,213800000,,0,,0.39,,628000000,,,,0.39,681800000,,,,3033700000,,33500000,,,
1984-12-31,,0,,1422700000,,,355500000,,,118700000,,744300000,0,,445300000,490200000,1007700000,490200000,770700000,,,1140000000,,,192000000,1236500000,,116600000,1140000000,1827500000,,,2221200000,3643900000,280500000,490200000,1067200000,2497000000,,,445300000,344000000,73400000,1816400000,1280400000,,0,2101500000,865000000,,2004200000,,0,0,-723800000,1357200000,238900000,,0,,0.43,,630200000,,,,0.43,,,,,3109200000,,47000000,,,
1985-12-31,,0,,1566000000,,,520200000,,,153400000,,764400000,0,,406100000,517600000,1039200000,517600000,796600000,,,1101276596,,,545200000,1330800000,,238600000,1101276596,1940200000,,,2387700000,3953700000,279000000,517600000,1045800000,2740600000,,,406100000,94300000,80600000,2013500000,1374000000,,0,2231400000,900600000,,2254100000,,0,0,-880100000,1467000000,281600000,,0,,0.47,,694200000,,,,0.47,,,,,3270600000,,48400000,,,
1986-12-31,,0,,1856200000,,,693700000,,,112500000,,860300000,0,,486000000,558200000,1168500000,558200000,876300000,,,1094509804,230900000,,517200000,1513900000,,395300000,1094509804,2072200000,,,2739600000,4595800000,318100000,558200000,1162500000,3041200000,,,486000000,478800000,80100000,2523600000,1527600000,,0,2551900000,1038000000,,2519900000,,0,0,-992300000,1691600000,298400000,,0,,0.51,,694600000,,,,0.51,931600000,,,,3720400000,,64100000,,,
1987-12-31,,0,,2212300000,,,764100000,,,146200000,,595000000,0,,1030900000,410500000,1118500000,643700000,595000000,,,1149464286,238200000,,492600000,1746000000,,365700000,1149464286,2724100000,,,3042600000,5254900000,184500000,643700000,1448200000,3395500000,,,1030900000,395700000,233200000,2530800000,1642500000,,0,2525300000,779300000,,2757900000,,100900000,0,-1115400000,1930300000,297500000,,0,,0.56,,615500000,,,,0.56,1210000000,,,,3643800000,,,,,
1988-12-31,,0,,2037400000,,,748600000,,,217200000,,1046800000,0,,761500000,761000000,1132800000,761000000,1115800000,,,1135820896,127000000,,631500000,1686100000,,387700000,1135820896,2414700000,,,3225300000,5262700000,354800000,761000000,1288800000,3827400000,,,761500000,409900000,69000000,2848000000,1806600000,,0,2936900000,1250800000,,3047200000,,125700000,0,-1240600000,1890100000,235200000,,0,,0.67,,674300000,,,,0.67,1161800000,,,,4069700000,,,,,
