date,annualTaxProvision,annualCurrentDebt,annualEndCashPosition,annualCurrentDeferredRevenue,annualCostOfRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualOtherCurrentAssets,annualChangeInAccountPayable,annualAccountsPayable,annualNetOtherFinancingCharges,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,annualInvestmentsAndAdvances,annualAccumulatedDepreciation,annualFreeCashFlow,annualOtherNonCurrentAssets,annualOperatingExpense,annualChangeInWorkingCapital,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualNetIncomeContinuousOperations,annualNetIncome,annualTotalAssets,annualLongTermDebt,annualCashDividendsPaid,annualBasicEPS,annualCurrentAssets,annualBeginningCashPosition,annualAccountsReceivable,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualOtherNonCashItems,annualCurrentAccruedExpenses,annualRetainedEarnings,annualDepreciationAndAmortization,annualCashFlowFromContinuingFinancingActivities,annualInventory,annualStockBasedCompensation,annualCapitalStock,annualOperatingCashFlow,annualDilutedEPS,annualDilutedAverageShares,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,annualOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,annualNetPPE,annualEbitda,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,annualChangeInInventory,annualCashCashEquivalentsAndMarketableSecurities,annualBasicAverageShares,annualGoodwill,annualInterestExpense,annualChangesInAccountReceivables,annualGrossPPE,annualPretaxIncome,annualDeferredIncomeTax,annualRepaymentOfDebt,annualOtherIncomeExpense,annualOperatingIncome,annualTotalRevenue,annualPurchaseOfInvestment,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualOtherCurrentLiabilities,annualResearchAndDevelopment,annualNonCurrentDeferredRevenue,annualIncomeTaxPayable
1979-12-31,,,,,,,,,,,,,,,,,,,,,,,54800000,54800000,,,,1.98099,,,,42600000,,,,,,,,,,,,,,1.98099,21504399,,,,,,,244400000,,,,,21504399,,,,,,,,,244400000,244400000,,,,,,,,
1980-12-31,,,,,,,,,,,,,,,,,,,,,,,71400000,71400000,,,,2.24112,,,,53600000,,,,,,,,,,,,,,2.24112,23916613,,,,,,,280500000,,,,,23916613,,,,,,,,,280500000,280500000,,,,,,,,
1981-12-31,,,,,,,,,,,,,,,,,,,,,,,84100000,84100000,,,,2.19443,,,,64200000,,,,,,,,,,,,,,2.06103,31149474,,,,,,,336200000,,,,,29255889,,,,,,,,,336200000,336200000,,,,,,,,
1982-12-31,,,,,,,,,,,,,,,,,,,,,,,115800000,115800000,,,,2.14774,,,,91700000,,,,,,,,,,,,,,2.14774,42696043,,,,,,,426500000,,,,,42696043,,,,,,,,,426500000,426500000,,,,,,,,
1983-12-31,,,,,,,,,,,,,,,,,,,,,,,116400000,116400000,,,,1.8676,,,,92200000,,,,,,,,,,,,,,1.8676,49368173,,,,,,,397500000,,,,,49368173,,,,,,,,,397500000,397500000,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,132800000,132800000,,,,2.07437,,,,108800000,,,,,,,,,,,,,,2.07437,52449659,,,,,,,445300000,,,,,52449659,,,,,,,,,445300000,445300000,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,146300000,146300000,,,,2.2011,,,,122400000,,,,,,,,,,,,,,2.2011,55608559,,,,,,,749000000,,,,,55608559,,,,,,,,,749000000,749000000,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,151000000,151000000,,,,2.19443,,,,132800000,,,,,,,,,,,,,,2.19443,60516854,,,,,,,698000000,,,,,60516854,,,,,,,,,698000000,698000000,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,95400000,95400000,,,,1.334,,,,83500000,,,,,,,,,,,,,,1.334,62593703,,,,,,,689700000,,,,,62593703,,,,,,,,,689700000,689700000,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,-9900000,-183500000,,,,-3.10822,,,,-194600000,,,,,,,,,,,,,,-3.10822,62608181,,,,,,,841900000,,,,,62608181,,,,,,,,,841900000,841900000,,,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,82600000,82600000,,,,1.15391,,,,72100000,,,,,,,,,,,,,,1.15391,62483209,,,,,,,915300000,,,,,62483209,,,,,,,,,915300000,915300000,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,400000,400000,,,,-0.15341,,,,-9600000,,,,,,,,,,,,,,-0.15341,62577407,,,,,,,855100000,,,,,62577407,,,,,,,,,855100000,855100000,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,23000000,23000000,,,,0.21344,,,,13500000,,,,,,,,,,,,,,0.21344,63249625,,,,,,,857200000,,,,,63249625,,,,,,,,,857200000,857200000,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,-104300000,-104300000,,,,-1.78089,,,,-111400000,,,,,,,,,,,,,,-1.78089,62552993,,,,,,,852000000,,,,,62552993,,,,,,,,,852000000,852000000,,,,,,,,
1993-12-31,,,,,,,,,,,,,,,,,,,,,,,-61500000,-61500000,,,,-1.09388,,,,-68300000,,,,,,,,,,,,,,-1.09388,62438293,,,,,,,873900000,,,,,62438293,,,,,,,,,873900000,873900000,,,,,,,,
