date,annualAccountsPayable,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,annualOtherShortTermInvestments,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualTaxProvision,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualDilutedEPS,annualOperatingIncome,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualBasicAverageShares,annualCurrentDebt,annualCurrentDeferredRevenue,annualPretaxIncome,annualOperatingExpense,annualFreeCashFlow,annualCashDividendsPaid,annualCostOfRevenue,annualNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualTotalAssets,annualCurrentAssets,annualOtherNonCashItems,annualStockholdersEquity,annualLongTermDebt,annualDepreciationAndAmortization,annualRetainedEarnings,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualDilutedAverageShares,annualNetIncomeCommonStockholders,annualSaleOfInvestment,annualCommonStockIssuance,annualAccountsReceivable,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualOperatingCashFlow,annualNetPPE,annualOtherIntangibleAssets,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,annualEbitda,annualGrossPPE,annualChangeInInventory,annualIncomeTaxPayable,annualPurchaseOfBusiness,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualCapitalExpenditure,annualPurchaseOfInvestment,annualInvestingCashFlow,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualNonCurrentDeferredRevenue,annualNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualChangesInAccountReceivables,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualInventory,annualOtherCurrentLiabilities,annualInterestExpense,annualGoodwill,annualRepaymentOfDebt,annualStockBasedCompensation,annualCapitalStock,annualInvestmentsAndAdvances
1998-12-31,78600000,,300400000,465000000,,3100000,,26500000,505600000,41500000,107600000,4900000.0,2.425,134900000,1000000.0,26500000,70400000,29028000,71000000,,111900000,102900000,188400000,,227200000,70400000,89200000,40100000,-13200000,806700000,240900000,,301100000,229800000,59700000,39900000,,205200000,29415042,70400000,,,,2200000,565800000,238300000,116100000,360500000,237800000,26500000,-196100000,194600000,147000000,-5700000,,,29700000,49000000,-49900000,,-48900000,-30900000,1500000,,21600000.0,2.425,,-483700000.0,-3200000,88900000,55600000.0,25200000.0,,,,,
1999-12-31,78500000,,326400000,516800000,-25900000.0,3900000,,37200000,533200000,32700000,-15600000,3800000.0,1.525,89700000,5400000.0,37200000,42600000,27654000,80000000,,75300000,117200000,100300000,,309900000,42600000,87300000,44900000,-5700000,849500000,255800000,,313900000,233300000,68400000,82500000,,206800000,27958000,42600000,,,,9500000,593700000,108700000,104500000,401900000,206900000,37200000,-80800000,158100000,143900000,31600000,,,26500000,57300000,-8400000,,-3000000,-39400000,14500000,,35800000.0,1.54,,2400000.0,10700000,64300000,48300000.0,25900000.0,,,,100000.0,
2000-12-31,63900000,,269400000,422400000,-48900000.0,3100000,,37700000,400700000,17400000,28300000,3100000.0,0.705,58700000,-4100000.0,37700000,18300000,25162000,43100000,,35700000,124800000,127400000,,238900000,18300000,88700000,41500000,-13600000,700800000,188500000,,295600000,180000000,80200000,100800000,,131300000,26000000,18300000,,,,1400000,512300000,134000000,83400000,340200000,183500000,37700000,-114900000,138900000,112400000,4700000,,,37200000,48500000,-6600000,,-10700000,-29000000,5200000,,40900000.0,0.73,,2000000.0,500000,55500000,24300000.0,22900000.0,,,,100000.0,
2001-12-31,76200000,,237100000,420900000,-57100000.0,5100000,,43000000,492400000,19800000,-20200000,0.0,0.22,221930000,-10500000.0,43000000,16900000,23528000,87100000,,36700000,-41230000,81600000,,240200000,5600000,91300000,57600000,-4000000,788700000,238300000,,290400000,145900000,87200000,106400000,32000000.0,255300000,25002000,5600000,,1000000.0,114900000.0,-900000,550400000,90000000,66900000,392200000,180700000,43000000,-600000,309130000,76500000,4300000,,,37700000,50900000,-8400000,,-78000000,-9600000,-800000,,40300000.0,0.235,,-15900000.0,5300000,55000000,60000000.0,19600000.0,,,,100000.0,
2002-12-31,65200000,,193100000,451500000,-37700000.0,6000000,,22700000,380700000,23000000,9300000,0.0,2.075,124500000,-34600000.0,26700000,51000000,23634000,58800000,,74000000,69700000,88600000,-600000.0,257300000,52100000,115500000,70000000,-200000,747800000,171800000,,362500000,102400000,32400000,157900000,59600000.0,187600000,25114000,52100000,,200000.0,80700000.0,-19300000,576000000,100000000,56800000,50900000,194200000,26700000,-74000000,156900000,88900000,3500000,,,43000000,49000000,-11400000,,-51800000,-32100000,1600000,,41700000.0,2.205,,-1400000.0,-20300000,55700000,4000000.0,13100000.0,352800000.0,,,100000.0,
2003-12-31,53000000,,192000000,462200000,-23400000.0,5100000,,46100000,304800000,23300000,600000,0.0,2.065,113300000,-5600000.0,46100000,53800000,23850000,1700000,2400000.0,77100000,91200000,77400000,-600000.0,257700000,51800000,124300000,75700000,-1200000,741600000,178900000,,430200000,102900000,25800000,209100000,43700000.0,112800000,25108000,51800000,,2900000.0,71700000.0,-19400000,562700000,85200000,48700000,389700000,204500000,46100000,-53200000,139100000,98400000,2200000,,,26700000,50500000,-7800000,,-19400000,-49700000,5000000,,38600000.0,2.17,,1600000.0,19400000,56500000,12000000.0,13000000.0,,,,100000.0,
2004-12-31,49700000,,175200000,480500000,-13400000.0,10500000,,33300000,344600000,20000000,-3700000,0.0,0.24,49300000,-4800000.0,33300000,10100000,24690000,30200000,,31100000,160200000,52800000,-1500000.0,271000000,6200000,138400000,93400000,-4500000,790600000,199600000,-13800000.0,445800000,94100000,24400000,213800000,77500000.0,169400000,25978000,6200000,,5500000.0,84400000.0,-56700000,591000000,62400000,71800000,380800000,209500000,33300000,8300000,73700000,89800000,-11300000,,,46100000,36700000,-9600000,,-89400000,-18000000,-800000,,44400000.0,0.25,,-3200000.0,-12800000,76900000,12000000.0,6500000.0,,,,100000.0,
2005-12-31,54500000,,220100000,527700000,-18300000.0,11200000,,68900000,360600000,4200000,-10000000,0.0,-5.0,-66400000,2800000.0,68900000,-122300000,24736000,14500000,2000000.0,-118100000,255900000,35500000,-1700000.0,338200000,-123700000,124800000,97600000,-2500000,675300000,239800000,16600000.0,314400000,130100000,28700000,88400000,59400000.0,140500000,24736000,-123700000,,1400000.0,64800000.0,-178300000,435500000,43800000,67300000,243400000,189500000,68900000,15500000,-37700000,85900000,-20300000,,,33300000,48100000,-8300000,,-27800000,-18600000,-5000000,,41900000.0,-5.0,,-2000000.0,35600000,96500000,10100000.0,9500000.0,,,,100000.0,
2006-12-31,50000000,,201000000,532100000,-110000000.0,11100000,,101900000,343900000,20400000,-18600000,0.0,0.45,36400000,0.0,101900000,11400000,24142000,15100000,2000000.0,31900000,150300000,28800000,-1900000.0,345400000,11400000,1600000,99000000,-15600000,569000000,305300000,27400000.0,225000000,133000000,27400000,97900000,70200000.0,142900000,25340000,11400000,2600000.0,3000000.0,78300000.0,-25200000,263700000,36400000,66500000,30200000,186700000,101900000,-7400000,63800000,105500000,-21000000,,,68900000,45800000,-7600000,,4600000,-39000000,-2000000,,22200000.0,0.47,,-700000.0,33000000,120000000,5600000.0,12100000.0,163800000.0,,,100000.0,
2007-12-31,50900000,,118900000,602400000,-72700000.0,13600000,,24300000,279600000,18200000,-14100000,0.0,1.19,50900000,0.0,24300000,29500000,23920000,20000000,100000.0,47700000,146500000,7300000,-2200000.0,405000000,29500000,35100000,103900000,-20000000,551100000,256100000,12800000.0,271500000,61000000,31300000,121500000,72600000.0,160700000,24838000,29500000,,4100000.0,94200000.0,-8200000,295000000,47900000,66200000,41900000,197400000,24300000,-85100000,82200000,119400000,-12000000,,,101900000,49800000,-40600000,,-40600000,-53200000,-4600000,,8100000.0,1.23,,100000.0,-77600000,132600000,17000000.0,9500000.0,151800000.0,,,300000.0,
