date,annualDepreciationAndAmortization,annualStockholdersEquity,annualChangeInInventory,annualStockBasedCompensation,annualCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingCashFlow,annualCapitalStock,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInventory,annualGrossProfit,annualCurrentLiabilities,annualNetPPE,annualEbitda,annualGrossPPE,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualGoodwill,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,annualAccountsPayable,annualCapitalExpenditure,annualOperatingIncome,annualInvestingCashFlow,annualBasicEPS,annualPretaxIncome,annualNonCurrentDeferredRevenue,annualEndCashPosition,annualOtherIncomeExpense,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualTaxProvision,annualInvestmentsAndAdvances,annualCurrentDebt,annualCurrentAccruedExpenses,annualCurrentDeferredRevenue,annualNetIncomeContinuousOperations,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualTotalRevenue,annualDeferredIncomeTax,annualInterestExpense,annualCommonStockIssuance,annualOtherShortTermInvestments,annualRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualDilutedAverageShares,annualChangesInAccountReceivables,annualDilutedEPS,annualOtherNonCurrentAssets,annualCurrentAssets,annualChangeInWorkingCapital,annualNetIncomeCommonStockholders,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,annualBeginningCashPosition,annualRetainedEarnings,annualAccountsReceivable,annualBasicAverageShares,annualCostOfRevenue,annualCashDividendsPaid,annualFreeCashFlow,annualSellingGeneralAndAdministration,annualLongTermDebt,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualOtherNonCashItems,annualIncomeTaxPayable,annualChangeInAccountPayable
1979-12-31,,1003900000,,,,,0,,,99600000,,43000000.0,547700000,1088800000,525100000,653700000,416500000,1041800000,521600000.0,,35800000,,,,,,,,305700000,0,0.980001,259300000,,0,-10300000,99600000,,105000000,,3500000,,,154300000,783100000,374400000,,2713800000,,36100000,,,,-388100000,157448822,,0.980001,16000000,1233700000,,154300000,1903400000,899500000,154300000,0,751300000,,157448822,1625000000,,0,672300000,295600000,669700000,94500000,,,
1980-12-31,,1152000000,,,,,0,,,104800000,,63300000.0,538100000,1241300000,524900000,780100000,468500000,1222900000,520100000.0,,36100000,,,,,,,,323700000,0,1.190001,274100000,,0,-13000000,104800000,,90300000,,4800000,,,183800000,917600000,435100000,,3086400000,,36700000,,,,-442800000,154453627,,1.190001,64100000,1267800000,,183800000,2112000000,960000000,183800000,0,892000000,,154453627,1845100000,,0,772800000,335700000,844200000,136700000,,,
1981-12-31,,1409000000,,,,,0,,,124700000,,91700000.0,651100000,1484400000,632000000,953900000,499800000,1525700000,625400000.0,,55500000,,,,,,,,294600000,0,1.050001,259400000,,0,20200000,124700000,,77300000,,6600000,,,182100000,1189800000,573900000,,3569700000,,55200000,,,,-571800000,173428398,,1.050001,195900000,1465100000,,182100000,2614900000,1205900000,182100000,0,1065800000,,173428398,2085300000,,0,984600000,426700000,1149800000,146100000,,,
1982-12-31,,1700100000,,,,,0,,,149800000,,111800000.0,652700000,1516600000,588400000,1110600000,504200000,1801800000,579700000.0,,63800000,,,,,,,,259900000,0,0.910001,211900000,,0,15200000,149800000,,42400000,,8700000,,,169500000,1256700000,544700000,,3785800000,,63300000,,,,-691200000,186263550,,0.910001,209900000,1512700000,,169500000,2833200000,1133100000,169500000,0,1185200000,,186263550,2269200000,,0,1012400000,369100000,1320500000,157100000,,,
1983-12-31,,1948000000,,,,,0,,,207000000,,108000000.0,679000000,1735000000,836000000,1278000000,622000000,2127000000,828000000.0,,82000000,,,,,,,,333000000,0,1.190001,309000000,,0,11000000,207000000,,65000000,,8000000,,,244000000,1402000000,452000000,,4328000000,,35000000,,,,-849000000,205041812,,1.190001,228000000,1730000000,,244000000,3236000000,1288000000,244000000,0,1367000000,,205041812,2593000000,,0,1113000000,262000000,1506000000,189000000,,,
1984-12-31,,2278000000,,,,,0,,,168000000,,102000000.0,937000000,2328000000,1202000000,1742000000,853000000,2798000000,1091000000.0,,81000000,,,,,,,,500000000,0,1.890002,466000000,,0,0,168000000,,79000000,,111000000,,,387000000,1828000000,714000000,,5534000000,,34000000,,,,-1056000000,204761700,,1.890002,249000000,2203000000,,387000000,4194000000,1916000000,387000000,0,1444000000,,204761700,3206000000,,0,1475000000,531000000,1991000000,281000000,,,
1985-12-31,,2284000000,,,,,0,,,176000000,,100000000.0,801000000,2037000000,1185000000,1981000000,562000000,3262000000,894000000.0,,96000000,,,,,,,,121000000,0,0.35,45000000,,0,0,176000000,,-27000000,,291000000,,,72000000,1916000000,901000000,,5443000000,,76000000,,,,-1281000000,205714080,,0.35,280000000,2109000000,,72000000,4370000000,2086000000,72000000,0,1440000000,,205714080,3406000000,,0,1475000000,705000000,2261000000,319000000,,,
1986-12-31,,2754000000,,,,,0,,,185000000,,110000000.0,819000000,2241000000,1371000000,2140000000,810000000,3649000000,653000000.0,,113000000,,,,,,,,351000000,0,0.910001,265000000,,0,0,185000000,,71000000,,718000000,,,194000000,1890000000,557000000,,5888000000,,86000000,,,,-1509000000,213186600,,0.910001,303000000,2239000000,,194000000,4682000000,1928000000,194000000,0,1552000000,,213186600,3647000000,,0,1431000000,334000000,2443000000,384000000,,,
1987-12-31,,3008000000,,,,,0,,,258000000,,137000000.0,909000000,2648000000,1668000000,2329000000,989000000,4040000000,1288000000.0,,164000000,,,,,,,,495000000,0,1.400001,416000000,,0,0,258000000,,108000000,,380000000,,,308000000,2153000000,645000000,,6707000000,,79000000,,,,-1711000000,219999780,,1.400001,285000000,2707000000,,308000000,5321000000,2313000000,308000000,0,1777000000,,219999780,4059000000,,0,1659000000,344000000,2614000000,439000000,,,
1988-12-31,,3375000000,,,,,0,,,340000000,,155000000.0,1144000000,3210000000,2691000000,2854000000,1253000000,4979000000,1653000000.0,,146000000,,,,,,,,710000000,0,2.030002,612000000,,0,0,340000000,,167000000,,1038000000,,,445000000,2500000000,644000000,,8250000000,,98000000,,,,-2125000000,219211603,,2.030002,476000000,3380000000,,445000000,6710000000,3335000000,445000000,0,2135000000,,219211603,5040000000,,0,1957000000,343000000,3330000000,496000000,,,
