date,annualAccumulatedDepreciation,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualOperatingExpense,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,annualChangesInAccountReceivables,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,annualCurrentAssets,annualDilutedAverageShares,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,annualInterestExpense,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,annualCommonStockIssuance,annualFreeCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,annualChangeInWorkingCapital,annualOtherCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,annualTotalAssets,annualNetIncome,annualBasicAverageShares,annualCostOfRevenue,annualBeginningCashPosition,annualCashDividendsPaid,annualCurrentDebt,annualOtherNonCashItems,annualPurchaseOfInvestment,annualStockholdersEquity,annualLongTermDebt,annualInvestingCashFlow,annualBasicEPS,annualChangeInInventory,annualNonCurrentDeferredTaxesLiabilities,annualDepreciationAndAmortization,annualGoodwill,annualStockBasedCompensation,annualCurrentLiabilities,annualInventory,annualRetainedEarnings,annualCapitalStock,annualAccountsReceivable,annualOperatingCashFlow,annualSaleOfInvestment,annualOtherIntangibleAssets,annualOtherIncomeExpense,annualOperatingIncome,annualNetPPE,annualEbitda,annualRepaymentOfDebt,annualTotalRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualNetOtherInvestingChanges,annualOtherCurrentLiabilities,annualEndCashPosition,annualCashFlowFromContinuingFinancingActivities,annualCashCashEquivalentsAndMarketableSecurities,annualDilutedEPS,annualGrossPPE,annualOtherNonCurrentLiabilities,annualAccountsPayable,annualPretaxIncome,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualCurrentDeferredRevenue,annualPurchaseOfBusiness,annualNonCurrentDeferredRevenue
1979-12-31,-399953250,591071850,,,2147400,651735900,103612050,118107000,,,,740316150,1930000000,,413374500,,,103612050,63885150,,,,0,842854500,762863850,,536850,34358400,833728050,1503180000,103612050,1700000000,436459050,0,,136359900,,,669451950,388679400,0,0.042948,,23621400,,,,420353550,347341950,383847750,,,0,,11810700,11273850,191118600,748905750,251782650,,1279313550,,,283993650,0,,118107000,0.042948,1148859000,1073700,,137970450,,,,,
1980-12-31,-396017300,744488450,,,3009250,810691950,175740200,253980700,,,,1089348500,2246153846,,454396750,,,175740200,74027550,,,,0,1111616950,906386100,,601850,63796100,1035783850,1995734600,175740200,2085714286,468841150,0,,232314100,,,959950750,417683900,0,0.084259,,30694350,,,,581387100,506155850,580183400,,,0,,9629600,12638850,300925000,893747250,367128500,,1580458100,,,349073000,0,,253980700,0.078241,1289764550,6018500,,239536300,,,,,
1981-12-31,-578675000,980085000,,,2930000,1059195000,341345000,789635000,,,,1935997500,2118181818,,512750000,,,341345000,104015000,,,,0,1541180000,1157350000,,0,107677500,1305315000,3093347500,341345000,2118181818,694410000,0,,253445000,,,1788032500,473195000,0,0.16115,,34427500,,,,792565000,678295000,1335347500,,,0,,8057500,71052500,481985000,1146362500,561095000,,2235590000,,,539120000,0,,789635000,0.16115,1725037500,5127500,,449022500,,,,,
1982-12-31,-666528000,1227417600,,,24313600,1330540800,476211200,724377600,,,,2141273600,2272000000,,498009600,,,476211200,134144000,,,,0,1903168000,1628172800,,0,134982400,1540140800,3769446400,476211200,2272000000,975897600,0,,396563200,,,2229305600,445190400,0,0.2096,,19283200,,,,1042131200,851814400,1691052800,,,0,,23475200,171033600,572627200,1580384000,675750400,,2879065600,,,645568000,0,,724377600,0.2096,2246912000,33536000,,611193600,,,,,
1983-12-31,-801850000,1452612500,,,61225000,1584937500,704087500,1766637500,,,,3619187500,2458620690,,535225000,,,704087500,158000000,,,,0,2433200000,2109300000,,987500,252800000,1917725000,5728487500,704087500,2458620690,1027000000,0,,493750000,,,3810762500,442400000,0,0.286375,,48387500,,,,1382500000,1114887500,2366050000,,,0,,13825000,266625000,848262500,2034250000,980587500,,3460200000,,,888750000,0,,1766637500,0.286375,2836100000,44437500,,956887500,,,,,
1984-12-31,-165522147,1013400900,,,84450075,1178923047,685734609,2138275899,,,,4314835832,2537500000,,667718593,,,685734609,185790165,,,,0,1749805554,2661866364,,0,231956206,2535754252,6976702196,685734609,2537500000,2020045794,0,,972864864,,,4440947944,568630505,0,0.27024,,37158033,,,,1868035659,1314043167,2352216089,,,0,,47292042,532598473,570882507,2530124247,736404654,,3769851348,,,895170795,0,,2138275899,0.27024,2695646394,61930055,,917690815,,,,,
1985-12-31,-1117810800,1151874000,,,62748000,1351771200,607759200,2105643600,,,,4289274000,2511111111,,843512400,,,607759200,114739200,,,,0,2085026400,3072859200,,0,268920000,2446275600,7362133200,607759200,2511111111,2073373200,0,,63644400,,,4915857600,736840800,0,0.242028,,46612800,,,,1602763200,1295298000,2869376400,,,0,,34063200,259956000,733255200,2976048000,933152400,,4158399600,,,1539118800,0,,2105643600,0.242028,4093858800,60058800,,876679200,,,,,
1986-12-31,-915609750,,,,149052750,224680500,521317500,1994223000,,,,4348962750,2535714286,,1879680000,,,521317500,100592250,,,,0,893582250,3801212250,,-734250,267267000,4075821750,8150175000,521317500,2535714286,3293845500,0,,62411250,,,4074353250,920015250,0,0.20559,,,,,,2196141750,1208575500,2884868250,,,0,,13216500,218072250,668901750,3638943000,893582250,,4187427750,,,2133730500,0,,1994223000,0.20559,4554552750,959664750,,788584500,,,,,
1987-12-31,-1605208450,1524125000,,,75596600,1790542050,480404200,2047814350,,,,4192563050,2541935484,,983365450,,,480404200,149973900,,,,0,2437990350,4074290950,,609650,217035400,3101289550,8266854000,480404200,2541935484,2589793200,0,,1044940100,,,5165564450,880334600,0,0.188992,,,,,,2117924100,1041891850,3115311500,,,0,,14631600,205452050,647448300,3984062750,913865350,,5027783550,,,1072984000,0,,2047814350,0.188992,5589271200,103030850,,697439600,,,,,
1988-12-31,-1863541400,1653197000,,,62553400,1976962400,637907200,2520695800,,,,4891538400,2577777778,,972671000,,,637907200,273585200,,,,0,2913201200,4334744400,,687400,267398600,3700274200,9226282800,637907200,2577777778,2716604800,0,,1260004200,,,5526008600,841377600,0,0.247464,,,,,,2727603200,1125273800,3458996800,,,0,,26808600,244027000,936238800,4245382400,1260004200,,5629806000,,,1467599000,0,,2520695800,0.247464,6108923800,131293400,,905305800,,,,,
