date,annualDilutedEPS,annualNonCurrentDeferredTaxesLiabilities,annualSaleOfInvestment,annualStockholdersEquity,annualPurchaseOfInvestment,annualAccountsReceivable,annualPurchaseOfBusiness,annualDepreciationAndAmortization,annualInvestingCashFlow,annualInventory,annualGoodwill,annualChangeInInventory,annualStockBasedCompensation,annualOperatingCashFlow,annualBasicAverageShares,annualCurrentLiabilities,annualNetPPE,annualChangeInWorkingCapital,annualGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOperatingIncome,annualTotalRevenue,annualCapitalStock,annualOtherNonCurrentLiabilities,annualRepaymentOfDebt,annualOtherCurrentLiabilities,annualNetOtherInvestingChanges,annualChangeInCashSupplementalAsReported,annualBasicEPS,annualPretaxIncome,annualEndCashPosition,annualGrossPPE,annualAccountsPayable,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,annualNetIncomeContinuousOperations,annualBeginningCashPosition,annualOperatingExpense,annualCapitalExpenditure,annualCashAndCashEquivalents,annualNetOtherFinancingCharges,annualInterestExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualOtherNonCurrentAssets,annualNetIncomeCommonStockholders,annualEbitda,annualOtherShortTermInvestments,annualOtherIntangibleAssets,annualTotalLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualFreeCashFlow,annualCostOfRevenue,annualRetainedEarnings,annualTotalAssets,annualNetIncome,annualTaxProvision,annualDilutedAverageShares,annualCashDividendsPaid,annualLongTermDebt,annualCurrentDebt,annualOtherCurrentAssets,annualOtherNonCashItems,annualTotalNonCurrentAssets,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualCashFlowFromContinuingFinancingActivities,annualCurrentAccruedExpenses,annualChangesInAccountReceivables,annualInvestmentsAndAdvances,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualOtherIncomeExpense,annualChangeInAccountPayable,annualIncomeTaxPayable,annualResearchAndDevelopment
2002-12-31,-0.045634,,,-5742424.452362,,,0.0,2001517.744808,-407520.049844,7657980.936655,,-1965435.240394,,-12947251.583591,2464674419,12731817.807241,6247579.514148,0.0,21162388.838392,2677534.077492,-28651631.004409,76218984.322418,,16763507.050361,-11151616.363965,0.0,5715893.199116,3347182.909397,-0.045634,-118553313.250371,2677534.077492,,,,,-118608498.257121,-669648.831905,49814019.842801,-1384931.419392,2677534.077492,-60007327.339554,,18058232.20872,18930579.815418,0.0,-112472350.006602,-26650113.259601,,,30790050.015961,70042508.566967,-14332183.002983,55056595.484026,,25178159.329565,-112472350.006602,55185.00675,2464674419,,1294725.158359,1193906.396028,0.0,-14948769.328398,6247579.514148,38251699.678603,,,,,,,,,,,,
2003-12-31,0.01706,,,606731102.462912,,,-521964078.166095,1314655.492415,-526165004.881517,7845283.952303,,-151403.957764,,-16085071.174836,3592875000,22478156.60267,9157806.994608,-3995145.279869,8499946.135874,16870879.040131,-14096561.447866,42512525.380024,,10284806.877401,-1367966.745149,0.0,39450.327023,14180793.227185,0.01706,59303437.541055,16870879.040131,,,,,59050742.203097,2690085.812946,22596507.583739,-4240377.042445,16870879.040131,5182919.990778,,11377687.558443,38131406.630362,0.0,61293013.49308,-12781905.955451,,,33855844.161113,549950353.401219,-20325448.21728,34012579.244151,,643134158.279645,61293013.49308,252695.337958,3592875000,,1092880.681042,2705012.963712,0.0,-17399726.667251,605002751.649283,21789375.21735,,,,,,,,,,,,
2004-12-31,0.021308,,,696180865.024627,-601949.643565,,,757497.693053,-5354688.333734,9391479.83722,,-10721096.04106,,-22467104.572581,4219700000,21152403.93513,6212333.401115,-10867055.512155,2828630.625958,1597031.001247,-13562511.438209,43812345.473172,,,-35158.120775,5355753.731334,6392.385595,-15260755.211383,0.021308,96545265.044704,1597031.001247,,,,,89411362.720254,16857786.21263,16391142.064167,-2799864.890779,1597031.001247,9787807.744134,,3196192.797693,24702308.735767,0.0,89913164.989492,-12805013.745156,,,24348596.732823,0.0,-25266969.46336,40983714.847214,,725287527.435615,89913164.989492,7133902.32445,4219700000,,,0.0,0.0,-23224602.265634,700585218.699847,16488093.245697,,,,,,,,,,,,
2005-12-31,0.028001,,,830750242.392986,,,0.0,844199.136153,5271300.154719,5936458.290356,,3239392.986075,,-7948587.674059,4119962825,56780979.628675,7737277.656008,-7522844.829809,11202553.764827,8794868.68231,-8322283.715833,105562365.716864,,,0.0,14802110.624033,7657125.580196,7161640.020629,0.028001,120100078.584322,8794868.68231,,,,,120100078.584322,1560363.138216,19524837.48066,-2385825.425477,8794868.68231,9838927.539969,,0.0,69963393.75967,0.0,115363819.559051,-7478084.57968,,,56780979.628675,,-10334413.099536,94359811.952037,,896913178.635895,120100078.584322,0.0,4119962825,,,,0.0,-8792786.810211,826949784.876225,19524837.48066,,,,,,,,,,,,
2006-12-31,0.049634,,,1032938880.923295,,,-898782575.065904,,-662590469.362824,9936761.396515,,,,-9633945.862535,4133702970,227811535.395101,12315166.848839,,17015826.528644,137235598.919823,-8611191.410017,127348972.54549,,19822385.070404,,0.0,242212319.16672,12357280.267473,0.050636,216316577.509162,21028633.704109,,34967172.571208,,,209315723.011638,8471816.048351,25627017.938661,-6066337.684048,21028633.704109,-3942618.144409,,684681965.537195,281438963.222529,0.0,209315723.011638,-8611191.410017,116206965.215714,,912493500.932296,,-15700283.546583,110333146.016846,,1965254766.925995,214727297.305986,1589280.203176,4217212121,-41314266.379477,684681965.537195,192550571.593905,0.0,-9633945.862535,1683815803.703466,25627017.938661,,,,,,,,,,,,
2007-12-31,0.058831,,,2287131539.252674,,,-39638654.572874,2137768.764571,231462650.561559,13581670.266763,,-3911123.835269,,-16625320.887311,4931943574,74530563.164118,30207927.950202,3234757.030703,14949392.613947,747658863.515236,-32327897.588337,128536859.955322,,198375948.109372,-2492814.497162,0.0,291620887.526706,723464229.912002,0.059768,299562108.305527,743273720.839093,,36396403.173146,,-24481293.218465,294770396.109742,19646488.400783,47277290.202284,-20519582.392273,743273720.839093,-6497617.945252,,289726685.755469,828437856.854503,0.0,294770396.109742,-30190128.823766,4385142.676143,,364257248.919586,595802337.540427,-37144903.279584,113587467.341375,,2849764736.281633,297994848.383034,1567259.922492,5010477707,-53703711.641793,289726685.755469,37449362.021252,0.0,-18763089.651882,2021326879.427131,47277290.202284,,,,,,,,,,,,
2008-12-31,0.143,8018000.0,,4197862000.0,,2833845000.0,1122834000.0,141053000.0,-274542000.0,486664000.0,,235933000.0,26909000.0,550977000.0,5845419450,5273470000.0,3289276000.0,-59103000.0,651285000.0,889408000.0,506454000.0,4289037000.0,122542000.0,,,0.0,-847799000.0,127724000.0,0.15,917922000.0,889408000.0,3867380000.0,4229631000.0,-578104000.0,,866053000.0,761684000.0,144831000.0,-804558000.0,889408000.0,10000000.0,60952000.0,95018000.0,5110552000.0,-3205000.0,879053000.0,1119927000.0,,657155000.0,5368488000.0,0.0,-253581000.0,3637752000.0,,10150969000.0,879053000.0,51869000.0,6147223776,-59500000.0,87000000.0,986288000.0,870819000.0,-334748000.0,5040417000.0,502343000.0,,,,,,,,,,,,
2009-12-31,0.167,37727000.0,0.0,6375613000.0,,6144929000.0,-354151000.0,364598000.0,-1305946000.0,640504000.0,6222000.0,-103937000.0,7337000.0,948805000.0,6926525450,8907789000.0,4328102000.0,-848500000.0,2540736000.0,4498155000.0,1683573000.0,14069225000.0,136993000.0,0.0,,0.0,-40344000.0,3609241000.0,0.171,1550460000.0,4498155000.0,5196353000.0,7328825000.0,-868251000.0,,1319028000.0,889408000.0,857163000.0,-1129350000.0,4498155000.0,1494743000.0,,2797880000.0,12219411000.0,1171473000.0,1182740000.0,2048171000.0,,1069679000.0,11705669000.0,677161000.0,-180545000.0,11528489000.0,,18802189000.0,1182740000.0,231432000.0,7175028650,-91376000.0,2760153000.0,1509635000.0,906501000.0,33381000.0,6582778000.0,1288693000.0,,,,,,,,,,,,
2010-12-31,0.1715,73013000.0,,8021882000.0,-100000000.0,9908179000.0,-134475000.0,524715000.0,-1345602000.0,986595000.0,6222000.0,-343225000.0,273437000.0,1982501000.0,7362781505,11813288000.0,5796750000.0,-720945000.0,3699704000.0,4493075000.0,2152410000.0,20099388000.0,139279000.0,294297000.0,-1756654000.0,0.0,624286000.0,-95443000.0,0.1859,1900323000.0,4393075000.0,7023915000.0,10543028000.0,-1227165000.0,,1549711000.0,4498155000.0,1547294000.0,-2044623000.0,4393075000.0,0.0,,3412634000.0,15684333000.0,-2391000.0,1368437000.0,2677125000.0,100000000.0,1448593000.0,15225922000.0,259874000.0,-62122000.0,16399684000.0,3665815000.0,24303599000.0,1368437000.0,350612000.0,8511197705,-148352000.0,3045324000.0,1096669000.0,260311000.0,191690000.0,8619266000.0,2112967000.0,,,,,,,,,,,,
2011-12-31,0.192,92194000.0,851620000.0,9582200000.0,-753810000.0,12214473000.0,-1091019000.0,641910000.0,-2953250000.0,1357506000.0,6222000.0,-363179000.0,137150000.0,1207940000.0,7440755450,14984763000.0,6795825000.0,-1646866000.0,3820111000.0,3030391000.0,2401763000.0,20964931000.0,139573000.0,842926000.0,-1227168000.0,2531639000.0,-119277000.0,-1352484000.0,0.2072,2183208000.0,3030391000.0,8449985000.0,12114356000.0,-1654160000.0,,1715849000.0,4393075000.0,1418348000.0,-2188574000.0,3030391000.0,0.0,,2461880000.0,17006036000.0,3527000.0,1543437000.0,3043673000.0,0.0,2221745000.0,17446643000.0,13850000.0,-980634000.0,17144820000.0,,27596758000.0,1543437000.0,467359000.0,7450443245,-170416000.0,1526760000.0,,365975000.0,166450000.0,10590722000.0,2322317000.0,,,,,,,,,,,,
