date,annualRetainedEarnings,annualNetIncome,annualNetOtherInvestingChanges,annualAccountsReceivable,annualCashDividendsPaid,annualPretaxIncome,annualCommonStockIssuance,annualInvestingCashFlow,annualOperatingIncome,annualAccountsPayable,annualTotalRevenue,annualPurchaseOfInvestment,annualOtherNonCashItems,annualStockholdersEquity,annualOtherCurrentAssets,annualLongTermDebt,annualEndCashPosition,annualTaxProvision,annualDepreciationAndAmortization,annualTotalAssets,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualCashAndCashEquivalents,annualIncomeTaxPayable,annualInvestmentsAndAdvances,annualSaleOfInvestment,annualCashCashEquivalentsAndMarketableSecurities,annualRepurchaseOfCapitalStock,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualOtherNonCurrentAssets,annualOperatingCashFlow,annualEbitda,annualNetPPE,annualCurrentAssets,annualChangeInCashSupplementalAsReported,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualGrossPPE,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,annualInterestExpense,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualCapitalExpenditure,annualOtherIncomeExpense,annualBasicEPS,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,annualChangeInInventory,annualInventory,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCapitalStock,annualCurrentDebt,annualOperatingExpense,annualFreeCashFlow,annualGrossProfit,annualAccumulatedDepreciation,annualDeferredIncomeTax,annualChangeInWorkingCapital,annualDilutedAverageShares,annualChangesInAccountReceivables,annualDilutedEPS,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualOtherIntangibleAssets,annualNonCurrentDeferredRevenue,annualCurrentDeferredRevenue,annualStockBasedCompensation,annualPurchaseOfBusiness,annualGoodwill,annualOtherShortTermInvestments
1979-12-31,,458200000,,,,,,,4364500000,,4364500000,,,,,,,,,,,,,,,,,,,,,,,4364500000,,,,,365900000,,,,,205561798,,,,1.78,,,,,,,458200000,,,,,,,,,,205561798,,1.78,,,,,,,,,,
1980-12-31,,524800000,,,,,,,5258900000,,5258900000,,,,,,,,,,,,,,,,,,,,,,,5258900000,,,,,415600000,,,,,230888889,,,,1.8,,,,,,,524800000,,,,,,,,,,243040936,,1.71,,,,,,,,,,
1981-12-31,,564600000,,,,,,,6194600000,,6194600000,,,,,,,,,,,,,,,,,,,,,,,6194600000,,,,,430900000,,,,,251988304,,,,1.71,,,,,,,564600000,,,,,,,,,,251988304,,1.71,,,,,,,,,,
1982-12-31,,810200000,,,,,,,6785100000,,6785100000,,,,,,,,,,,,,,,,,,,,,,,6785100000,,,,,657600000,,,,,267317073,,,,2.46,,,,,,,810200000,,,,,,,,,,267317073,,2.46,,,,,,,,,,
1983-12-31,,841700000,,,,,,,6646700000,,6646700000,,,,,,,,,,,,,,,,,,,,,,,6646700000,,,,,681900000,,,,,292660944,,,,2.33,,,,,,,841700000,,,,,,,,,,292660944,,2.33,,,,,,,,,,
1984-12-31,,974900000,,,,,,,7829700000,,7829700000,,,,,,,,,,,,,,,,,,,,,,,7829700000,,,,,810600000,,,,,309389313,,,,2.62,,,,,,,974900000,,,,,,,,,,309389313,,2.62,,,,,,,,,,
1985-12-31,,1030800000,,,,,,,8431000000,,8431000000,,,,,,,,,,,,,,,,,,,,,,,8431000000,,,,,866500000,,,,,326981132,,,,2.65,,,,,,,1030800000,,,,,,,,,,326981132,,2.65,,,,,,,,,,
1986-12-31,,1081200000,,,,,,,7816700000,,7816700000,,,,,,,,,,,,,,,,,,,,,,,7816700000,,,,,925000000,,,,,355769231,,,,2.6,,,,,,,1081200000,,,,,,,,,,355769231,,2.6,,,,,,,,,,
1987-12-31,,597200000,,,,,,,7185700000,,7185700000,,,,,,,,,,,,,,,,,,,,,,,7185700000,,,,,486400000,,,,,377054264,,,,1.29,,,,,,,597200000,,,,,,,,,,377054264,,1.29,,,,,,,,,,
1988-12-31,,62100000,,,,,,,7645700000,,7645700000,,,,,,,,,,,,,,,,,,,,,,,7645700000,,,,,-40400000,,,,,404000000,,,,-0.1,,,,,,,62100000,,,,,,,,,,404000000,,-0.1,,,,,,,,,,
